paises,quantidade,valor,ano,derivado_uva
Não consta na tabela,0,0,1973,Vinhos de Mesa
Não declarados,0,0,1973,Vinhos de Mesa
Outros,4306,5775,1973,Vinhos de Mesa
Total,4100775,3373315,1973,Vinhos de Mesa
Africa do Sul,0,0,1977,Vinhos de Mesa
Alemanha,160926,201840,1977,Vinhos de Mesa
Argélia,0,0,1977,Vinhos de Mesa
Arábia Saudita,0,0,1977,Vinhos de Mesa
Argentina,408399,395615,1977,Vinhos de Mesa
Armênia,0,0,1977,Vinhos de Mesa
Austrália,0,0,1977,Vinhos de Mesa
Áustria,0,0,1977,Vinhos de Mesa
Bermudas,0,0,1977,Vinhos de Mesa
Bélgica,0,0,1977,Vinhos de Mesa
Bolívia,0,0,1977,Vinhos de Mesa
Bósnia-Herzegovina,0,0,1977,Vinhos de Mesa
Brasil,0,0,1977,Vinhos de Mesa
Bulgária,0,0,1977,Vinhos de Mesa
Canada,0,0,1977,Vinhos de Mesa
Chile,2593464,1962448,1977,Vinhos de Mesa
China,0,0,1977,Vinhos de Mesa
"Coreia do Sul, República",0,0,1977,Vinhos de Mesa
Croácia,0,0,1977,Vinhos de Mesa
Cuba,0,0,1977,Vinhos de Mesa
Emirados Árabes Unidos,0,0,1977,Vinhos de Mesa
Eslovênia,0,0,1977,Vinhos de Mesa
Eslováquia,0,0,1977,Vinhos de Mesa
Espanha,105667,98238,1977,Vinhos de Mesa
Estados Unidos,2250,3275,1977,Vinhos de Mesa
França,322033,476983,1977,Vinhos de Mesa
Geórgia,0,0,1977,Vinhos de Mesa
"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,1977,Vinhos de Mesa
Grécia,0,0,1977,Vinhos de Mesa
Hong Kong,0,0,1977,Vinhos de Mesa
Hungria,0,0,1977,Vinhos de Mesa
Indonésia,0,0,1977,Vinhos de Mesa
Irlanda,0,0,1977,Vinhos de Mesa
Israel,0,0,1977,Vinhos de Mesa
Itália,348461,349392,1977,Vinhos de Mesa
Japão,0,0,1977,Vinhos de Mesa
Iugoslávia,1764,1570,1977,Vinhos de Mesa
Líbano,0,0,1977,Vinhos de Mesa
Luxemburgo,0,0,1977,Vinhos de Mesa
Macedônia,0,0,1977,Vinhos de Mesa
Marrocos,0,0,1977,Vinhos de Mesa
México,0,0,1977,Vinhos de Mesa
Moldávia,0,0,1977,Vinhos de Mesa
Montenegro,0,0,1977,Vinhos de Mesa
Noruega,0,0,1977,Vinhos de Mesa
Nova Zelândia,0,0,1977,Vinhos de Mesa
Países Baixos (Holanda),0,0,1977,Vinhos de Mesa
Panamá,0,0,1977,Vinhos de Mesa
Peru,0,0,1977,Vinhos de Mesa
Porto Rico,0,0,1977,Vinhos de Mesa
Portugal,2132582,1847604,1977,Vinhos de Mesa
Reino Unido,0,0,1977,Vinhos de Mesa
Republica Dominicana,0,0,1977,Vinhos de Mesa
Romênia,0,0,1977,Vinhos de Mesa
Rússia,0,0,1977,Vinhos de Mesa
San Marino,0,0,1977,Vinhos de Mesa
Sérvia,0,0,1977,Vinhos de Mesa
Síria,0,0,1977,Vinhos de Mesa
Suazilândia,0,0,1977,Vinhos de Mesa
Suíça,0,0,1977,Vinhos de Mesa
"Tcheca, República",0,0,1977,Vinhos de Mesa
Tunísia,0,0,1977,Vinhos de Mesa
Turquia,0,0,1977,Vinhos de Mesa
Ucrânia,0,0,1977,Vinhos de Mesa
Uruguai,24191,33975,1977,Vinhos de Mesa
Não consta na tabela,0,0,1977,Vinhos de Mesa
Não declarados,0,0,1977,Vinhos de Mesa
Outros,450,642,1977,Vinhos de Mesa
Total,6100187,5371582,1977,Vinhos de Mesa
Africa do Sul,0,0,1972,Vinhos de Mesa
Alemanha,134438,92103,1972,Vinhos de Mesa
Argélia,0,0,1972,Vinhos de Mesa
Arábia Saudita,0,0,1972,Vinhos de Mesa
Argentina,104906,58137,1972,Vinhos de Mesa
Armênia,0,0,1972,Vinhos de Mesa
Austrália,0,0,1972,Vinhos de Mesa
Áustria,353,520,1972,Vinhos de Mesa
Bermudas,0,0,1972,Vinhos de Mesa
Bélgica,0,0,1972,Vinhos de Mesa
Bolívia,0,0,1972,Vinhos de Mesa
Bósnia-Herzegovina,0,0,1972,Vinhos de Mesa
Brasil,0,0,1972,Vinhos de Mesa
Bulgária,0,0,1972,Vinhos de Mesa
Canada,0,0,1972,Vinhos de Mesa
Chile,161736,95654,1972,Vinhos de Mesa
China,0,0,1972,Vinhos de Mesa
"Coreia do Sul, República",0,0,1972,Vinhos de Mesa
Croácia,0,0,1972,Vinhos de Mesa
Cuba,0,0,1972,Vinhos de Mesa
Emirados Árabes Unidos,0,0,1972,Vinhos de Mesa
Eslovênia,0,0,1972,Vinhos de Mesa
Eslováquia,0,0,1972,Vinhos de Mesa
Espanha,300582,116710,1972,Vinhos de Mesa
Estados Unidos,2156,1337,1972,Vinhos de Mesa
França,176688,173001,1972,Vinhos de Mesa
Geórgia,0,0,1972,Vinhos de Mesa
"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,1972,Vinhos de Mesa
Grécia,0,0,1972,Vinhos de Mesa
Hong Kong,0,0,1972,Vinhos de Mesa
Hungria,0,0,1972,Vinhos de Mesa
Indonésia,0,0,1972,Vinhos de Mesa
Irlanda,0,0,1972,Vinhos de Mesa
Israel,0,0,1972,Vinhos de Mesa
Itália,142196,96943,1972,Vinhos de Mesa
Japão,0,0,1972,Vinhos de Mesa
Iugoslávia,1824,1137,1972,Vinhos de Mesa
Líbano,0,0,1972,Vinhos de Mesa
Luxemburgo,0,0,1972,Vinhos de Mesa
Macedônia,0,0,1972,Vinhos de Mesa
Marrocos,0,0,1972,Vinhos de Mesa
México,0,0,1972,Vinhos de Mesa
Moldávia,0,0,1972,Vinhos de Mesa
Montenegro,0,0,1972,Vinhos de Mesa
Noruega,0,0,1972,Vinhos de Mesa
Nova Zelândia,0,0,1972,Vinhos de Mesa
Países Baixos (Holanda),0,0,1972,Vinhos de Mesa
Panamá,0,0,1972,Vinhos de Mesa
Peru,0,0,1972,Vinhos de Mesa
Porto Rico,0,0,1972,Vinhos de Mesa
Portugal,1650727,1226232,1972,Vinhos de Mesa
Reino Unido,0,0,1972,Vinhos de Mesa
Republica Dominicana,0,0,1972,Vinhos de Mesa
Romênia,0,0,1972,Vinhos de Mesa
Rússia,0,0,1972,Vinhos de Mesa
San Marino,0,0,1972,Vinhos de Mesa
Sérvia,0,0,1972,Vinhos de Mesa
Síria,0,0,1972,Vinhos de Mesa
Suazilândia,0,0,1972,Vinhos de Mesa
Suíça,0,0,1972,Vinhos de Mesa
"Tcheca, República",0,0,1972,Vinhos de Mesa
Tunísia,0,0,1972,Vinhos de Mesa
Turquia,0,0,1972,Vinhos de Mesa
Ucrânia,0,0,1972,Vinhos de Mesa
Uruguai,7394,2741,1972,Vinhos de Mesa
Não consta na tabela,0,0,1972,Vinhos de Mesa
Não declarados,0,0,1972,Vinhos de Mesa
Outros,79052,25032,1972,Vinhos de Mesa
Total,2762052,1889547,1972,Vinhos de Mesa
Africa do Sul,0,0,1974,Vinhos de Mesa
Alemanha,219173,202502,1974,Vinhos de Mesa
Argélia,0,0,1974,Vinhos de Mesa
Arábia Saudita,0,0,1974,Vinhos de Mesa
Argentina,215930,167473,1974,Vinhos de Mesa
Armênia,0,0,1974,Vinhos de Mesa
Austrália,0,0,1974,Vinhos de Mesa
Áustria,5301,7394,1974,Vinhos de Mesa
Bermudas,0,0,1974,Vinhos de Mesa
Bélgica,0,0,1974,Vinhos de Mesa
Bolívia,0,0,1974,Vinhos de Mesa
Bósnia-Herzegovina,0,0,1974,Vinhos de Mesa
Brasil,0,0,1974,Vinhos de Mesa
Bulgária,0,0,1974,Vinhos de Mesa
Canada,0,0,1974,Vinhos de Mesa
Chile,550691,429885,1974,Vinhos de Mesa
China,0,0,1974,Vinhos de Mesa
"Coreia do Sul, República",0,0,1974,Vinhos de Mesa
Croácia,0,0,1974,Vinhos de Mesa
Cuba,0,0,1974,Vinhos de Mesa
Emirados Árabes Unidos,0,0,1974,Vinhos de Mesa
Eslovênia,0,0,1974,Vinhos de Mesa
Eslováquia,0,0,1974,Vinhos de Mesa
Espanha,362577,215208,1974,Vinhos de Mesa
Estados Unidos,0,0,1974,Vinhos de Mesa
França,316584,465175,1974,Vinhos de Mesa
Geórgia,0,0,1974,Vinhos de Mesa
"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,1974,Vinhos de Mesa
Grécia,0,0,1974,Vinhos de Mesa
Hong Kong,0,0,1974,Vinhos de Mesa
Hungria,0,0,1974,Vinhos de Mesa
Indonésia,0,0,1974,Vinhos de Mesa
Irlanda,0,0,1974,Vinhos de Mesa
Israel,0,0,1974,Vinhos de Mesa
Itália,305763,278089,1974,Vinhos de Mesa
Japão,0,0,1974,Vinhos de Mesa
Iugoslávia,2520,1804,1974,Vinhos de Mesa
Líbano,0,0,1974,Vinhos de Mesa
Luxemburgo,0,0,1974,Vinhos de Mesa
Macedônia,0,0,1974,Vinhos de Mesa
Marrocos,0,0,1974,Vinhos de Mesa
México,0,0,1974,Vinhos de Mesa
Moldávia,0,0,1974,Vinhos de Mesa
Montenegro,0,0,1974,Vinhos de Mesa
Noruega,0,0,1974,Vinhos de Mesa
Nova Zelândia,0,0,1974,Vinhos de Mesa
Países Baixos (Holanda),0,0,1974,Vinhos de Mesa
Panamá,0,0,1974,Vinhos de Mesa
Peru,0,0,1974,Vinhos de Mesa
Porto Rico,0,0,1974,Vinhos de Mesa
Portugal,2245288,1917710,1974,Vinhos de Mesa
