cultivar,quantidade,ano,classificacao_uva
Seibel 2 (seibeleto),5387790,2023,Americanas e Híbridas
Seyve Willard (Tinta),1002782,2023,Americanas e Híbridas
Vênus,68626,2023,Americanas e Híbridas
BRANCAS E ROSADAS,62577564,2023,Americanas e Híbridas
Baco,0,2023,Americanas e Híbridas
Bokay,84670,2023,Americanas e Híbridas
BRS Bibiana,25491,2023,Americanas e Híbridas
BRS Clara,0,2023,Americanas e Híbridas
BRS Lorena,10186931,2023,Americanas e Híbridas
Couderc 13,4524468,2023,Americanas e Híbridas
Delaware,0,2023,Americanas e Híbridas
Dona Zillá,24890,2023,Americanas e Híbridas
Dut Chess,0,2023,Americanas e Híbridas
Goethe,269143,2023,Americanas e Híbridas
IAC,0,2023,Americanas e Híbridas
Juliana,0,2023,Americanas e Híbridas
Martha,1380,2023,Americanas e Híbridas
Mistura de uvas americanas,42550,2023,Americanas e Híbridas
Moscato Embrapa,8790794,2023,Americanas e Híbridas
Niagara,0,2023,Americanas e Híbridas
Niagara Branca,23148433,2023,Americanas e Híbridas
Niagara Rosada,14987968,2023,Americanas e Híbridas
Poloske,55493,2023,Americanas e Híbridas
Seleções,0,2023,Americanas e Híbridas
Seyve Villard,0,2023,Americanas e Híbridas
Seyve Villard 5276,105771,2023,Americanas e Híbridas
Seyve Villard 12375,329582,2023,Americanas e Híbridas
Tardia de Caxias,0,2023,Americanas e Híbridas
Outras(2),0,2023,Americanas e Híbridas
Total,565243922,2023,Americanas e Híbridas
