paises,quantidade,valor,ano,derivado_uva
Cuba,0,0,2023,Vinhos de Mesa
Curaçao,25135,40807,2023,Vinhos de Mesa
Dinamarca,1734,15261,2023,Vinhos de Mesa
Dominica,0,0,2023,Vinhos de Mesa
El Salvador,0,0,2023,Vinhos de Mesa
Emirados Arabes Unidos,1417,6762,2023,Vinhos de Mesa
Equador,2790,4392,2023,Vinhos de Mesa
"Eslovaca, Republica",0,0,2023,Vinhos de Mesa
Espanha,180,4171,2023,Vinhos de Mesa
Estados Unidos,229839,429091,2023,Vinhos de Mesa
Estônia,0,0,2023,Vinhos de Mesa
Filipinas,94,334,2023,Vinhos de Mesa
Finlândia,5,11,2023,Vinhos de Mesa
França,2265,14722,2023,Vinhos de Mesa
Gana,7237,29473,2023,Vinhos de Mesa
Gibraltar,0,0,2023,Vinhos de Mesa
Granada,0,0,2023,Vinhos de Mesa
Grécia,1294,3214,2023,Vinhos de Mesa
Guatemala,2053,3758,2023,Vinhos de Mesa
Guiana,33651,88715,2023,Vinhos de Mesa
Guiana Francesa,0,0,2023,Vinhos de Mesa
Guine Bissau,0,0,2023,Vinhos de Mesa
Guine Equatorial,0,0,2023,Vinhos de Mesa
Haiti,559645,871661,2023,Vinhos de Mesa
Honduras,0,0,2023,Vinhos de Mesa
Hong Kong,16255,71025,2023,Vinhos de Mesa
Hungria,0,0,2023,Vinhos de Mesa
Ilha de Man,1428,4533,2023,Vinhos de Mesa
Ilhas Virgens,0,0,2023,Vinhos de Mesa
India,60,170,2023,Vinhos de Mesa
Indonésia,9,30,2023,Vinhos de Mesa
Irã,0,0,2023,Vinhos de Mesa
Iraque,0,0,2023,Vinhos de Mesa
Irlanda,150,377,2023,Vinhos de Mesa
Itália,2922,27665,2023,Vinhos de Mesa
Jamaica,0,0,2023,Vinhos de Mesa
Japão,22942,57780,2023,Vinhos de Mesa
Jordânia,0,0,2023,Vinhos de Mesa
Letônia,8,8,2023,Vinhos de Mesa
Líbano,0,0,2023,Vinhos de Mesa
Libéria,39784,42463,2023,Vinhos de Mesa
Luxemburgo,581,7048,2023,Vinhos de Mesa
Macau,7,6,2023,Vinhos de Mesa
Malásia,0,0,2023,Vinhos de Mesa
Malavi,3660,6252,2023,Vinhos de Mesa
Malta,6561,24199,2023,Vinhos de Mesa
"Marshall, Ilhas",7417,31691,2023,Vinhos de Mesa
Martinica,9,31,2023,Vinhos de Mesa
Mauritânia,0,0,2023,Vinhos de Mesa
México,3,19,2023,Vinhos de Mesa
Moçambique,0,0,2023,Vinhos de Mesa
Montenegro,0,0,2023,Vinhos de Mesa
Namíbia,0,0,2023,Vinhos de Mesa
Nicarágua,0,0,2023,Vinhos de Mesa
Nigéria,10800,16464,2023,Vinhos de Mesa
Noruega,861,4243,2023,Vinhos de Mesa
Nova Caledônia,0,0,2023,Vinhos de Mesa
Nova Zelândia,338,7177,2023,Vinhos de Mesa
Omã,0,0,2023,Vinhos de Mesa
Países Baixos,2244,4958,2023,Vinhos de Mesa
Palau,45,143,2023,Vinhos de Mesa
Panamá,14785,68173,2023,Vinhos de Mesa
Paraguai,3780378,5517263,2023,Vinhos de Mesa
Peru,47277,84282,2023,Vinhos de Mesa
Pitcairn,11,22,2023,Vinhos de Mesa
Polônia,298,590,2023,Vinhos de Mesa
Porto Rico,0,0,2023,Vinhos de Mesa
Portugal,13742,46311,2023,Vinhos de Mesa
Quênia,0,0,2023,Vinhos de Mesa
Reino Unido,11326,84547,2023,Vinhos de Mesa
República Dominicana,0,0,2023,Vinhos de Mesa
Rússia,0,0,2023,Vinhos de Mesa
São Cristóvão e Névis,16,31,2023,Vinhos de Mesa
